Food Name,Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Starch (g),Total sugars (g),Cholesterol (mg)
,PROT,FAT,CHO,KCALS,STAR,TOTSUG,CHOL
,Protein,Fat,Carbohydrate,kcal,Starch,Total sugars,Cholesterol
"Fishcakes, salmon, homemade",11.4,20.5,15.2,287,14.5,0.7,83.6
"Fishcakes, white fish, coated in breadcrumbs, baked",9.3,9.4,22.6,206,20.8,1.8,30.0
"Flan case, pastry, homemade",7.0,30.9,58.9,527,47.0,11.9,121.9
"Flan case, sponge, homemade",9.6,5.6,54.4,293,19.8,34.6,205.1
"Flan, cheese and mushroom, homemade",10.8,19.9,16.0,282,13.7,2.2,94.7
"Flan, cheese and mushroom, wholemeal, homemade",11.3,18.1,17.1,272,14.8,2.3,116.9
"Flan, cheese, onion and potato, homemade",13.0,26.2,18.0,355,16.9,1.0,41.3
"Flan, cheese, onion and potato, wholemeal, homemade",13.6,24.3,19.1,345,17.9,1.0,63.0
"Flan, lentil and tomato, homemade",7.4,5.7,23.6,169,20.3,2.5,5.2
"Flan, lentil and tomato, wholemeal, homemade",7.7,5.8,22.0,165,18.6,2.6,5.2
"Flan, pastry, with fruit, homemade",1.2,3.5,18.3,105,7.1,11.2,13.6
"Flan, spinach, homemade",8.6,14.7,13.4,211,9.6,1.8,49.9
"Flan, spinach, wholemeal, homemade",9.0,13.4,11.3,206,10.3,1.9,65.3
"Flan, sponge, with fruit, homemade",2.3,1.2,21.5,101,5.7,15.8,42.5
"Flan, vegetable, homemade",5.3,15.6,18.2,229,15.2,2.7,11.0
"Flan, vegetable, wholemeal, homemade",5.4,11.9,16.7,191,13.7,2.7,30.1
"Flapjacks, homemade",4.4,24.0,61.6,464,27.0,34.5,3.1
"Flapjacks, retail",5.1,22.8,55.7,434,26.5,29.2,25.0
"Flapjacks, retail, chocolate covered",5.3,23.5,55.7,441,24.4,31.3,24.8
"Flounder, flesh only, steamed",20.3,2.2,0.0,101,0.0,0.0,60.0
"Flounder, flesh only, steamed, weighed with bones and skin",11.4,1.2,0.0,57,0.0,0.0,34.0
"Flounder, raw",16.4,1.8,0.0,82,0.0,0.0,48.0
"Flour, chapati, brown",10.3,1.9,73.0,332,71.9,1.1,0.0
"Flour, chapati, white",9.7,1.4,78.3,345,77.7,0.6,0.0
"Flour, corn",0.6,0.7,92.0,354,92.0,Tr,0.0
"Flour, gari (cassava flour)",0.7,0.2,95.1,361,90.8,Tr,0.1
"Flour, gram",22.7,5.4,57.0,353,51.5,2.3,0.0
"Flour, millet, foxtail",5.8,1.7,75.4,354,N,N,
"Flour, rice",6.4,0.8,80.1,366,80.1,N,
"Flour, rye",7.3,1.6,73.5,319,72.0,1.5,0.0
"Flour, soya",34.3,22.4,18.7,409,12.3,6.4,0.3
"Flour, wheat, bread/strong, white",11.3,1.2,79.2,353,78.7,0.5,0.0
"Flour, wheat, brown",12.2,2.0,72.5,339,71.5,1.0,0.0
"Flour, wheat, brown, bread/strong",13.4,1.9,72.0,341,71.0,1.0,
"Flour, wheat, white, plain, soft",9.1,1.4,80.9,352,80.3,0.6,0.0
"Flour, wheat, white, self raising",8.9,1.5,79.6,348,79.0,0.6,0.0
"Flour, wheat, wholemeal",11.6,2.0,69.9,327,68.5,1.4,0.0
"Flour, wheat, wholemeal, bread/strong",14.2,2.2,66.7,327,65.7,1.1,
"Flour, wheat, wholemeal, self raising",10.8,1.9,69.3,359,68.2,1.1,
"Flying fish, raw",21.0,0.3,0.0,86,0.0,0.0,N
Frankfurter,13.6,25.4,1.1,287,Tr,1.1,76.0
Frankfurter with bun,10.7,9.8,35.6,264,33.4,2.1,23.9
"Frankfurter with bun, ketchup, fried onions and mustard",6.8,7.4,26.5,194,19.0,6.7,13.4
"Fromage frais, fruit, children's, fortified",   5.8,2.9,  13.2,99,1.4,  11.8,N
"Fromage frais, virtually fat free, fruit",6.8,0.2,5.6,50,0.7,4.9,1.0
"Fromage frais, virtually fat free, natural",7.7,0.1,4.6,49,0.2,4.4,1.0
"Fruit cocktail, canned in juice, whole contents",0.4,Tr,  11.7,45,0.0,  11.7,0.0
"Fruit cocktail, canned in syrup, whole contents",0.4,Tr,14.8,57,0.0,14.8,0.0
"Fruit fool, homemade",1.0,9.3,20.2,163,4.1,16.1,24.0
Fruit gums/jellies,6.5,0.0,79.5,324,1.9,58.7,0.0
"Fruit juice drink, carbonated, no added sugar, ready to drink",Tr,Tr,0.6,2,0.0,0.6,0.0
"Fruit juice drink, carbonated, ready to drink",Tr,Tr,7.2,27,0.0,7.2,0.0
"Fruit juice drink, no added sugar, ready to drink",0.2,Tr,0.9,4,0.0,0.9,0.0
"Fruit juice drink/squash, diluted",0.0,Tr,1.8,7,0.0,1.8,0.0
"Fruit juice drink/squash, no sugar added, diluted",0.0,Tr,0.3,1,0.0,0.3,0.0
"Fruit juice drink/squash, no sugar added, undiluted",0.1,Tr,1.4,6,0.0,1.4,0.0
"Fruit juice drink/squash, ready to drink",0.1,Tr,9.8,37,0.0,9.8,0.0
"Fruit juice drink/squash, undiluted",0.1,Tr,8.9,34,0.0,8.9,0.0
"Fruit juice, mixed",0.4,Tr,10.3,40,0.0,10.3,0.0
Fruit pastilles,2.8,0.0,84.2,327,3.4,59.3,0.0
"Fruit salad, homemade",0.7,0.3,14.3,59,0.3,14.0,0.0
"Fudge, homemade",3.4,13.1,80.8,435,0.0,80.8,37.3
"Fu-fu, sweet potato, homemade",1.6,0.3,25.9,109,15.3,N,0.0
"Fu-fu, yam, homemade",2.1,0.3,37.4,155,36.8,N,0.0
Gajjeralla,3.6,12.3,39.3,272,Tr,39.3,74.1
Garam masala,15.6,15.1,45.2,379,N,N,0.0
"Garlic mushrooms, not coated, homemade",1.2,14.1,0.5,134,0.1,0.4,36.1
Garlic powder,18.7,1.2,42.7,246,38.5,4.2,0.0
"Garlic, raw",7.9,0.6,16.3,98,14.7,1.6,0.0
"Gateau, chocolate based, frozen",3.5,15.7,37.2,295,17.6,17.4,55.7
"Gateau, fruit, frozen",3.2,12.3,33.3,248,17.8,14.9,52.5
Gelatine,84.4,0.0,0.0,338,0.0,0.0,0.0
Ghee made from vegetable oil,0.1,100.0,0.0,900,0.0,0.0,0.0
"Ghee, butter",0.1,97.6,Tr,878,0.0,Tr,246.0
"Gherkins, pickled, drained",0.9,0.1,2.6,14,0.2,2.4,0.0
"Gherkins, raw",1.0,0.1,1.8,12,0.2,1.6,0.0
"Giblets, chicken, boiled",22.9,7.1,0.0,156,0.0,0.0,390.0
"Giblets, chicken, raw",17.1,8.2,0.0,142,0.0,0.0,N
"Giblets, turkey, boiled",28.1,8.8,0.0,192,0.0,0.0,N
"Ginger, fresh",1.8,0.8,8.1,44,6.4,1.7,0.0
"Ginger, ground",7.4,3.3,60.0,284,40.2,19.8,0.0
"Gingerbread, homemade",5.6,11.3,65.9,371,31.3,34.7,46.9
"Glucose liquid, BP",Tr,0.0,84.7,318,N,40.2,0.0
"Goose, meat, raw, fat and skin",16.5,32.8,0.0,361,0.0,0.0,80.0
"Goose, meat, roasted, fat and skin",27.5,21.2,0.0,301,0.0,0.0,91.0
"Gooseberries, cooking, raw",1.1,0.4,3.0,19,0.0,3.0,0.0
"Gooseberries, cooking, stewed with sugar",0.7,0.3,12.9,54,0.0,12.9,0.0
"Gooseberries, cooking, stewed without sugar",0.9,0.3,2.5,16,0.0,2.5,0.0
"Gooseberries, dessert, raw",0.7,0.3,9.2,40,0.0,9.2,0.0
"Goulash, homemade",6.9,3.0,6.5,79,4.3,1.7,17.4
"Gourd, ash, raw",0.5,0.1,2.3,12,N,N,0.0
"Gourd, bottle, raw",0.4,0.1,2.7,13,N,N,0.0
"Gourd, kantola, raw",1.9,1.0,3.0,28,2.1,0.9,0.0
"Gourd, karela, raw",1.6,0.2,0.8,11,0.8,Tr,0.0
"Gourd, ridge, raw",0.8,0.1,3.3,17,0.2,3.1,0.0
"Gourd, snake, raw",0.5,0.3,4.1,21,N,N,0.0
"Gourd, tinda, raw",1.4,0.2,3.6,21,0.8,2.8,0.0
"Grape juice, unsweetened",0.3,0.1,16.0,62,0.0,16.0,0.0
"Grapefruit juice, unsweetened",0.4,0.1,8.3,33,0.0,8.3,0.0
"Grapefruit, canned in juice, whole contents",0.6,Tr,7.3,30,0.0,7.3,0.0
"Grapefruit, flesh only, raw",0.9,0.5,6.9,34,0.0,6.9,0.0
"Grapefruit, flesh only, raw, weighed with peel and pips",0.6,0.4,4.9,24,0.0,4.9,0.0
"Grapes, average",0.7,0.2,16.1,65,0.0,16.1,0.0
"Grapes, average, weighed with pips",0.7,0.2,15.8,64,0.0,15.8,0.0
"Grapes, green",0.7,0.2,15.2,62,0.0,15.2,0.0
"Grapes, red",0.6,0.1,17.0,67,0.0,17.0,0.0
Gravy instant granules,4.4,16.1,65.2,407,N,5.3,N
"Gravy instant granules, made up with water",0.3,1.2,4.7,30,N,0.4,N
"Green beans, dried",21.6,4.4,31.9,246,9.3,22.6,0.0
"Greengages, raw",0.8,0.1,9.7,41,0.0,9.7,0.0
"Greengages, raw, weighed with stones",0.7,0.1,9.2,38,0.0,9.2,0.0
"Greengages, stewed with sugar",0.7,0.1,20.7,81,0.0,20.7,0.0
"Greengages, stewed with sugar, weighed with stones",0.7,0.1,19.9,78,0.0,19.9,0.0
"Greengages, stewed without sugar, weighed with stones",0.6,0.1,8.3,34,0.0,8.3,0.0
"Greengages, stones, removed, stewed without sugar",0.7,0.1,8.7,36,0.0,8.7,0.0
"Grenadillas, flesh and seeds",2.8,0.3,7.5,42,0.0,7.5,0.0
"Grouse, meat only, roasted",27.6,2.0,0.0,128,0.0,0.0,N
"Grouse, meat only, roasted, weighed with bone",12.7,0.9,0.0,59,0.0,0.0,N
"Guacamole, homemade",1.4,12.7,2.2,128,Tr,1.3,0.0
"Guava, flesh only, raw",0.8,0.5,5.0,26,0.1,4.9,0.0
"Guava, raw, weighed with skin and pips",0.7,0.5,4.5,24,0.1,4.4,0.0
"Gulab jamen/jambu, homemade",6.5,6.6,49.9,273,14.3,35.6,2.2
"Gulab jamen/jambu, retail",7.2,12.8,43.3,306,4.4,38.9,30.4
"Haddock, coated in crumbs, frozen, fried in blended oil",14.7,10.0,12.6,196,12.6,Tr,N
"Haddock, coated in crumbs, frozen, fried in blended oil, weighed with bones and skin",11.8,8.0,10.1,157,10.1,Tr,N
"Haddock, coated in crumbs, frozen, raw",13.8,5.2,10.5,141,10.5,Tr,N
"Haddock, fillets, flesh only, in flour, fried in blended oil, weighed with bones and skin",18.4,3.6,3.9,120,3.9,Tr,N
"Haddock, fillets, flesh only, in flour, fried in dripping",21.1,4.1,4.5,138,4.5,Tr,N
"Haddock, fillets, flesh only, in flour, fried in dripping, weighed with bones and skin",18.4,3.6,3.9,120,3.9,Tr,N
"Haddock, fillets, flesh only, in flour, fried in sunflower oil",21.1,4.1,4.5,138,4.5,Tr,N
"Haddock, fillets, flesh only, in flour, fried in sunflower oil, weighed with bones and skin",18.4,3.6,3.9,120,3.9,Tr,N
"Haddock, flesh only, grilled",23.9,0.3,0.0,98,0.0,0.0,40.5
"Haddock, flesh only, grilled, fillets weighed with bones and skin",21.0,0.3,0.0,87,0.0,0.0,35.6
"Haddock, flesh only, poached",22.8,0.5,0.0,96,0.0,0.0,62.8
"Haddock, flesh only, poached, fillets weighed with bones and skin",19.8,0.5,0.0,84,0.0,0.0,54.7
"Haddock, flesh only, raw",17.8,0.4,0.0,75,0.0,0.0,49.1
"Haddock, flesh only, smoked, poached",21.8,0.5,0.0,92,0.0,0.0,65.0
"Haddock, flesh only, smoked, poached, fillets weighed with bones and skin",19.2,0.4,0.0,80,0.0,0.0,57.2
"Haddock, flesh only, smoked, raw",19.7,0.5,0.0,83,0.0,0.0,59.0
"Haddock, flesh only, smoked, steamed",22.5,0.5,0.0,95,0.0,0.0,77.0
"Haddock, flesh only, smoked, steamed, weighed with bones and skin",20.0,0.5,0.0,84,0.0,0.0,69.0
"Haddock, flesh only, steamed",21.8,0.6,0.0,93,0.0,0.0,74.0
"Haddock, flesh only, steamed, fillets weighed with bones and skin",19.0,0.5,0.0,81,0.0,0.0,64.4
"Haddock, in batter, fried in blended oil",17.1,14.0,10.0,232,10.0,Tr,N
"Haddock, in batter, fried in dripping",17.1,14.0,10.0,232,10.0,Tr,N
"Haddock, in batter, fried in retail blend oil",17.1,14.0,10.0,232,10.0,Tr,58.0
"Haddock, in batter, fried in sunflower oil",17.1,14.0,10.0,232,10.0,Tr,N
"Haggis, boiled",10.7,21.7,19.2,310,19.2,Tr,91.0
"Hake, flesh only, grilled",22.2,2.7,0.0,113,0.0,0.0,28.0
"Hake, flesh only, grilled, weighed with bones and skin",14.4,1.8,0.0,74,0.0,0.0,18.0
"Hake, flesh only, raw",18.0,2.2,0.0,92,0.0,0.0,23.0
"Halibut, flesh only, grilled",25.3,2.2,0.0,121,0.0,0.0,41.0
"Halibut, flesh only, poached",24.7,5.7,1.1,154,0.0,1.1,50.0
"Halibut, flesh only, poached, weighed with bones and skin",22.7,5.3,1.0,142,0.0,1.0,46.0
"Halibut, flesh only, raw",21.5,1.9,0.0,103,0.0,0.0,35.0
"Halibut, grilled, weighed with bones and skin",19.7,1.7,0.0,95,0.0,0.0,32.0
"Halva, carrot, homemade",4.8,16.6,44.0,354,0.4,43.3,6.2
"Halva, semolina, homemade",2.2,16.7,49.1,342,11.4,37.6,0.0
Ham,18.4,3.3,1.0,107,0.0,1.0,58.0
"Ham, gammon joint, boiled",23.3,12.3,0.0,204,0.0,0.0,83.0
"Ham, gammon joint, raw",17.5,7.5,0.0,138,0.0,0.0,23.0
"Ham, gammon rashers, grilled",27.5,9.9,0.0,199,0.0,0.0,83.0
"Hare, meat only, stewed",29.9,8.0,0.0,192,0.0,0.0,N
"Hare, meat only, stewed, weighed with bone",21.8,5.8,0.0,139,0.0,0.0,N
"Hazelnuts, kernel only",14.1,63.5,6.0,650,2.0,4.0,0.0
"Hazelnuts, kernel only, weighed with shells",5.4,24.1,2.3,247,0.8,1.5,0.0
"Heart, lamb, raw",17.1,6.8,0.0,129,0.0,0.0,140.0
"Heart, lamb, roasted",25.3,13.9,0.0,226,0.0,0.0,260.0
"Heart, ox, raw",18.2,3.5,0.0,104,0.0,0.0,140.0
"Heart, ox, stewed",27.8,5.1,0.0,157,0.0,0.0,230.0
"Heart, pig, raw",17.1,3.2,0.0,97,0.0,0.0,79.0
"Heart, pig, stewed",25.1,6.8,0.0,162,0.0,0.0,N
"Herring, flesh only, grilled",20.1,11.2,0.0,181,0.0,0.0,43.0
"Herring, flesh only, grilled, weighed with bones and skin",13.7,7.6,0.0,123,0.0,0.0,29.0
"Herring, flesh only, raw",17.8,13.2,0.0,190,0.0,0.0,50.0
"Herring, pickled",16.7,11.1,10.0,209,0.0,10.0,42.0
"High juice drink, diluted",0.1,Tr,8.5,32,0.0,8.5,0.0
"High juice drink, no added sugar, undiluted",0.3,Tr,4.6,18,0.0,4.6,0.0
"High juice drink, undiluted",0.3,Tr,42.6,161,0.0,42.6,0.0
"Hilsa, raw",21.8,19.4,0.0,262,0.0,0.0,N
"Hoki, grilled",24.1,2.7,0.0,121,0.0,0.0,N
"Hoki, raw",16.9,1.9,0.0,85,0.0,0.0,N
"Hollandaise sauce, homemade",5.1,77.9,0.9,717,Tr,0.5,518.9
Honey,0.4,0.0,76.4,288,0.0,76.4,0.0
Honey and comb,0.6,4.6,74.4,281,0.0,74.4,0.0
"Horlicks powder, made up with semi-skimmed milk",4.1,1.8,13.5,83,5.0,8.5,N
"Horlicks powder, made up with skimmed milk",4.1,0.6,13.5,72,5.0,8.5,N
"Horlicks powder, made up with whole milk",4.1,3.5,13.3,98,5.0,8.4,N
"Horlicks, powder",9.4,3.1,83.7,379,44.8,38.9,N
Horseradish sauce,2.5,8.4,17.9,153,3.0,15.0,14.0
"Horseradish, raw",4.5,0.3,11.0,62,3.7,7.3,0.0
"Hot cross buns, homemade",7.3,5.8,58.3,312,34.9,23.4,20.1
"Hot pot, lamb/beef with potatoes, retail, reheated",7.2,4.4,10.6,108,9.6,1.0,N
Houmous,6.8,26.7,10.5,307,9.3,0.6,0.0
"Ice cream bars/choc ices, chocolate coated, luxury",3.9,21.1,34.9,336,Tr,32.9,19.1
"Ice cream bars/choc ices, non-dairy, with chocolate flavoured coating",3.2,21.7,23.2,295,0.7,20.5,6.6
"Ice cream desserts, frozen",3.5,17.6,21.0,251,0.7,19.7,4.0
"Ice cream sauce, topping, strawberry and chocolate flavours",0.4,0.2,72.7,276,N,62.3,0.0
"Ice cream with cone, non-dairy, vanilla",2.9,7.5,32.0,200,3.3,22.6,12.9
"Ice cream with wafers, non-dairy, vanilla",2.9,7.5,31.7,199,2.9,22.7,12.9
"Ice cream, dairy, luxury, with chocolate/caramel",4.2,13.9,32.2,262,2.9,28.4,58.4
"Ice cream, dairy, vanilla, soft scoop",3.2,8.2,22.0,169,Tr,22.0,29.4
"Ice cream, non dairy, vanilla, soft scoop",2.6,7.7,29.8,192,0.0,23.5,13.3
"Ice cream, virtually fat free alternative",4.4,0.8,20.6,102,Tr,19.0,N
"Iced buns, retail",6.0,7.8,60.8,322,35.0,25.8,4.7
"Icing, butter, homemade",0.2,29.4,63.4,507,0.7,62.8,76.2
"Icing, fondant, homemade",1.3,Tr,90.1,343,Tr,88.9,0.0
"Icing, glace, homemade",Tr,0.0,88.9,333,0.9,88.0,0.0
"Icing, Royal, homemade",1.1,Tr,93.4,354,1.0,92.4,0.0
"Instant dessert powder, made up with skimmed milk",3.3,3.2,14.4,96,3.4,11.0,3.2
"Instant dessert powder, made up with whole milk",3.2,6.0,14.3,121,3.4,10.9,10.1
"Instant drinks powder, chocolate, low calorie",16.0,11.1,52.0,359,Tr,33.6,3.0
"Instant drinks powder, malted, unfortified",5.7,6.2,82.5,388,Tr,54.8,3.5
"Jackfish, raw",21.7,2.4,0.0,108,0.0,0.0,54.0
"Jackfruit, raw",1.3,0.3,21.4,88,0.8,20.6,0.0
Jaffa cakes,4.4,8.5,69.3,354,16.3,51.6,9.4
"Jam tarts, retail",3.2,13.5,58.2,353,26.2,32.1,2.8
"Jam, fruit with edible seeds",0.6,0.0,69.0,261,0.0,69.0,0.0
"Jam, reduced sugar",0.5,0.1,31.9,123,0.0,31.9,0.0
"Jam, stone fruit",0.4,0.0,69.3,261,0.0,69.3,0.0
"Jambu fruit, flesh only",0.7,0.3,12.4,55,Tr,N,0.0
"Jellabi, homemade",4.2,14.9,57.5,369,39.2,N,0.0
"Jelly, made with skimmed milk",2.6,Tr,16.8,73,0.0,16.8,Tr
"Jelly, made with water",1.2,Tr,15.1,61,0.0,15.1,0.0
"Jelly, sugar free, made with water",1.6,0.0,Tr,6,0.0,0.0,0.0
"John Dory, raw",19.0,1.4,0.0,89,0.0,0.0,N
"Jujube, flesh only",1.5,0.3,19.7,87,Tr,19.7,0.0
"Kalabasu, raw",14.7,1.0,0.0,68,0.0,0.0,N
"Katla, raw",19.5,2.4,0.0,100,0.0,0.0,N
"Kebabs, pork and pineapple, homemade",14.4,9.9,5.9,170,0.1,6.1,41.1
"Kedgeree, homemade",15.9,7.7,9.1,167,9.1,Tr,128.8
Khadhi,3.4,2.8,6.6,63,2.0,4.5,7.9
Khatiyu,8.5,7.0,25.8,192,19.9,3.8,0.0
"Kheema, beef, homemade",11.7,10.8,4.6,160,1.5,2.6,30.2
"Kheema, lamb, homemade",11.0,13.4,4.0,178,1.1,2.4,37.6
"Kheema, lamb, reduced fat, homemade",11.4,9.4,3.2,142,1.1,1.6,38.8
"Khichadi, with butter ghee",4.8,5.2,27.3,169,26.6,0.2,11.7
"Khichadi, with vegetable oil",4.8,5.2,27.0,169,26.6,0.2,0.0
"Kidney, lamb, fried in corn oil",23.7,10.3,0.0,188,0.0,0.0,610.0
"Kidney, lamb, raw",17.0,2.6,0.0,91,0.0,0.0,315.0
"Kidney, ox, raw",17.2,2.1,0.0,88,0.0,0.0,265.0
"Kidney, ox, stewed",24.5,4.4,0.0,138,0.0,0.0,460.0
